index	word	definition	label
98	wavelet	(physics) a force due to the earth's rotation; acts on a body in motion (airplane or projectile) in a rotating reference frame; in a rotating frame of reference Newton's second law of motion can be made to apply if in addition to the real forces acting on a body a Coriolis force and a centrifugal force are introduced	0
99	tumultuous	containing or of the nature of alcohol	0
100	blowing	someone who teaches English	0
101	sickbay	(nautical) a room for the treatment of the sick or injured (as on a ship)	1
102	occidentalism	the scholarly knowledge of Western cultures and languages and people	1
103	suspicion	a disease caused by deficiency of niacin or tryptophan (or by a defect in the metabolic conversion of tryptophan to niacin); characterized by gastrointestinal disturbances and erythema and nervous or mental disorders; may be caused by malnutrition or alcoholism or other nutritional impairments	0
104	algebraist	a mathematician whose specialty is algebra	1
105	anechoic	of or relating to or characteristic of Bangladesh or its people or language	0
106	thistledown	the process of wavelike muscle contractions of the alimentary tract that moves food along	0
107	evidenced	affability to your inferiors and temporary disregard for differences of position or rank	0
108	gust	a strong current of air	1
109	lockmaster	a worker in charge of a lock (on a canal)	1
110	boughten	purchased; not homemade	1
111	thickhead	Australian and southeastern Asian birds with a melodious whistling call	1
112	homelessness	the state or condition of having no home (especially the state of living in the streets)	1
113	attempted	tried unsuccessfully	1
114	hilltop	an organizer who puts things in order	0
115	neighbor	a nearby object of the same kind	1
116	sloppily	enormous cosmopolitan family of perennial terrestrial or epiphytic plants with fleshy tubers or rootstocks and unusual flowers	0
117	invalid	the number of a particular individual's social security account	0
118	daydreaming	someone who is drafted into military service	0
119	gaily	large genus of subshrubs or herbs having showy blue or purple or red or yellow or white flowers; mostly western North America	0
120	vascular	Portuguese man-of-war	0
121	carefree	a session that is held in addition to the regular sessions	0
122	ribband	slang term for knockout drops	0
123	angular	having angles or an angular shape	1
124	stripteaser	a performer who provides erotic entertainment by undressing to music	1
125	luxury	rigid spirally curved elongate bacteria	0
126	governed	the body of people who are citizens of a particular government	1
127	courtier	an attendant at the court of a sovereign	1
128	hypsometer	one species: Dalmatian laburnum	0
129	microbar	the absolute unit of pressure equal to one dyne per square centimeter	1
130	ministry	the work of a minister of religion	1
131	busload	the quantity of cargo or the number of passengers that a bus can carry	1
132	longest	the longest and thickest bone of the human skeleton; extends from the pelvis to the knee	0
133	thymol	a colorless crystalline solid used in perfume or preserving biological specimens or in embalming or medically as a fungicide or antiseptic	1
134	demonism	the worship of devils (especially Satan)	1
135	acculturation	a structure that serves to support something	0
136	cycle	large species having three ridges on its back; found in southeastern United States	0
137	separate	a woman shepherd	0
138	shaker	a container in which something can be shaken	1
139	telegraphic	having the style of a telegram with many short words left out	1
140	solidarity	a union of interests or purposes or sympathies among members of a group	1
141	usually	slanted across a polygon on a diagonal line	0
142	propagation	the spreading of something (a belief or practice) into new regions	1
143	hyaloplasm	small slow-growing pine of western United States similar to the bristlecone pine; chocolate brown bark in plates and short needles in bunches of 5; crown conic but becoming rough and twisted; oldest plant in the world growing to 5000 years in cold semidesert mountain tops	0
144	slouchily	a woman who is engaged to be married	0
145	psychiatric	relating to or used in or engaged in the practice of psychiatry	1
146	guided	yielding a fair profit	0
147	crash	a mechanism for transmitting motion for some specific purpose (as the steering gear of a vehicle)	0
148	neutralise	get rid of (someone who may be a threat) by killing	1
149	unresentful	genus of tropical American herbs or subshrubs	0
150	momentous	of very great significance	1
151	terrible	hydrocarbon gases, usually propane or butane, kept under pressure	0
152	landman	a person who lives and works on land	1
153	pile	extinct primate of about 38 million years ago; fossils found in Egypt	0
154	bullfight	a Spanish or Portuguese or Latin American spectacle; a matador baits and (usually) kills a bull in an arena before many spectators	1
155	unkeyed	characterized by avoidance of traditional Western tonality	1
156	mollycoddle	mechanical system of lubricating internal combustion engines in which a pump forces oil into the engine bearings	0
157	renown	the state or quality of being widely honored and acclaimed	1
158	afterward	someone who lapses into previous undesirable patterns of behavior	0
159	suffocative	causing difficulty in breathing especially through lack of fresh air and presence of heat	1
160	indicative	a longitudinal beam connected to the keel of ship to strengthen it	0
161	forbidden	a motion of the body by a player as if to make an object already propelled go in the desired direction	0
162	gammopathy	a short novel	0
163	prefigure	a candle lighted by a worshiper in a church	0
164	vibrionic	caused by bacteria of the genus Vibrio	1
165	bundle	political propaganda (especially Communist propaganda) communicated via art and literature and cinema	0
166	snakeweed	breeds on the northern great plains of Canada	0
167	treasurer	an officer charged with receiving and disbursing funds	1
168	icetray	muishonds	0
169	carpeting	not hostile	0
170	rehouse	put up in a new or different housing	1
171	nudeness	the state of being without clothing or covering of any kind	1
172	evitable	a painful inflammation of the big toe and foot caused by defects in uric acid metabolism resulting in deposits of the acid and its salts in the blood and joints	0
173	time	large drinking vessel with one handle	0
174	stainer	a worker who stains (wood or fabric)	1
175	size	(used in combination) sized	1
176	basketeer	ranking above all others	0
177	raider	a corporate investor who intends to take over a company by buying a controlling interest in its stock and installing new management	1
178	compressible	capable of being easily compressed	1
179	counteroffer	an offer made by someone who has rejected a prior offer	1
180	boustrophedonic	of or relating to writing alternate lines in opposite directions	1
181	insolently	a soccer tournament held every four years between national soccer teams to determine a world champion	0
182	knocking	the sound of knocking (as on a door or in an engine or bearing)	1
183	signalization	a conspicuous indication	1
184	twitter	make high-pitched sounds, as of birds	1
185	respectability	honorableness by virtue of being respectable and having a good reputation	1
186	fiddling	in a bilateral manner	0
187	interlinear	a grey lustrous metallic element of the rare earth group; is used in special alloys; occurs in monazite and bastnasite	0
188	surveillance	close observation of a person or group (usually by the police)	1
189	coherently	in a coherent manner	1
190	vulvitis	a genus of birds of the family Sylviidae including kinglets	0
191	enforced	a plaything consisting of a board balanced on a fulcrum; the board is ridden up and down by children at either end	0
192	user	a person who takes drugs	1
193	polyoma	a virus the can initiate various kinds of tumors in mice	1
194	redistribution	distributing again	1
195	rotated	tree of South and Central America yielding an aromatic balsam	0
196	skip	bypass	1
197	spread	a worker who belongs to a trade union	0
198	sudatorium	a bathhouse for hot air baths or steam baths	1
199	stalemated	at a complete standstill because of opposition of two unrelenting forces or factions	1
200	consultant	of a gilt-edged security; having more than 15 years to run before redemption	0
201	stomacher	diced lobster meat in milk or cream	0
202	steeper	farmer who breed or raises livestock	0
203	porter	type genus of the Pyralidae	0
204	hypermedia	a multimedia system in which related items of information are connected and can be presented together	1
205	swelled	a wind caused by the downward motion of cold air	0
206	mossback	a narrow paper band around a cigar	0
207	gleefully	in a joyous and gleeful manner	1
208	appalled	struck with fear, dread, or consternation	1
209	tenantry	American golden-crested kinglet	0
210	amberjack	being nine more than fifty	0
211	solved	explained or answered	1
212	alee	bright green deciduous shade tree of southern Europe	0
213	slagheap	pile of waste matter from coal mining etc	1
214	restrict	a boulder found on a shore remote from its place of origin	0
215	sellable	any of numerous sharks from small relatively harmless bottom-dwellers to large dangerous oceanic and coastal species	0
216	besides	state of violent mental agitation	0
217	foreknow	realize beforehand	1
218	procurement	cause to grow together parts from different plants	0
219	velvet	resembling velvet in having a smooth soft surface	1
220	footpad	a highwayman who robs on foot	1
221	psaltery	music that uses two or more different keys at the same time	0
222	dashing	in a self-collected or self-possessed manner	0
223	taster	someone who samples food or drink for its quality	1
224	helicopter	an aircraft without wings that obtains its lift from the rotation of overhead blades	1
225	laryngopharyngeal	chromatic purity: freedom from dilution with white and hence vivid in hue	0
226	campus	a field on which the buildings of a university are situated	1
227	spicily	tropical American tree having edible yellow fruit	0
228	straying	unable to find your way	1
229	punkie	talk pompously	0
230	graspable	physiological state in which a woman exhibits symptoms of pregnancy but is not pregnant	0
231	immaculateness	resembling a claw	0
232	soccer	a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal	1
233	choirboy	a boy who sings in a choir	1
234	coyness	the affectation of being demure in a provocative way	1
235	frontwards	at or to or toward the front	1
236	artless	deprive of speech	0
237	bicarbonate	an abnormal thickness of the lips	0
238	scrofulous	morally contaminated	1
239	provisions	a black band worn by a man (on the arm or hat) as a sign of mourning	0
240	combust	start to burn or burst into flames	1
241	vigilant	a passenger car for day travel; you pay extra fare for individual chairs	0
242	corded	a meeting for administrative purposes	0
243	pettifoggery	(psychiatry) a psychological disorder of thought or emotion; a more neutral term than mental illness	0
244	chromite	a brownish-black mineral; the major source of chromium	1
245	gladiatorial	a guerrilla who fights only in cities and towns	0
246	unselfishness	acting generously	1
247	interchangeability	meter for bulk mailings that imprints correct prepaid postage on pieces of mail and records the total charge	0
248	fanned	especially spread in a fan shape	1
249	turtler	someone whose occupation is hunting turtles	1
250	waterfront	the area of a city (such as a harbor or dockyard) alongside a body of water	1
251	hygrophytic	requiring an abundance of moisture	1
252	telecommerce	a circle that rolls around (inside or outside) another circle; generates an epicycloid or hypocycloid	0
253	decorative	serving an esthetic rather than a useful purpose	1
254	communicational	a circular masonry fort for coastal defence	0
255	virulently	in a virulent manner	1
256	sandlike	of sound mind, memory, and understanding; in law, competent to got to trial	0
257	skirting	brine-cured salmon that is less salty than most; sometimes sugar is also used in the curing	0
258	directness	a macrophage that is found in connective tissue	0
259	suggestible	susceptible or responsive to suggestion	1
260	waggishness	the principle bad character in a film or work of fiction	0
261	aboveground	on or above the surface of the ground	1
262	peopled	activities organized by civilians for their own protection in time of war or disaster	0
263	threatened	(of flora or fauna) likely in the near future to become endangered	1
264	brainpower	an oval large stadium with tiers of seats; an arena in which contests and spectacles are held	0
265	reckon	the system by which one currency is exchanged for another; enables international transactions to take place	0
266	unquiet	causing or fraught with or showing anxiety	1
267	contentment	happiness with one's situation in life	1
268	neuron	a detonator that explodes when struck	0
269	bordered	small usually parasitic flagellates	0
270	benignancy	the quality of being kind and gentle	1
271	needful	common Old World heath represented by many varieties; low evergreen grown widely in the northern hemisphere	0
272	sciolist	an amateur who engages in an activity without serious intentions and who pretends to have knowledge	1
273	overland	stairway in India leading down to a landing on the water	0
274	zippy	quick and energetic	1
275	shrimper	of or relating to or near a rib	0
276	weighbridge	any of numerous carnivorous usually bottom-dwelling warm-water marine fishes found worldwide but most abundant in the Pacific	0
277	screed	a long piece of writing	1
278	rutherfordium	(computer science) a kind of computer architecture that has a relatively small set of computer instructions that it can perform	0
279	flaxen	an emotional episode (usually in young children) in which the person awakens in terror with feelings of anxiety and fear but is unable to remember any incident that might have provoked those feelings	0
280	traitorous	a bandage containing stretchable material that can apply local pressure	0
281	seconder	(Christianity) a formal creed summarizing Christian beliefs; first adopted in 325 and later expanded	0
282	jellylike	thick like gelatin	1
283	indinavir	a protease inhibitor (trade name Crixivan) used for treating HIV	1
284	turnbuckle	an oblong metal coupling with a swivel at one end and an internal thread at the other into which a threaded rod can be screwed in order to form a unit that can be adjusted for length or tension	1
285	brilliant	grant freedom to	0
286	concisely	in a concise manner; in a few words	1
287	deathtrap	any structure that is very unsafe; where people are likely to be killed	1
288	stranger	not requested	0
289	broadtail	a cow about to give birth	0
290	trad	in a very painful manner	0
291	supranormal	beyond the range of the normal or scientifically explainable	1
292	sunstroke	sudden prostration due to exposure to the sun or excessive heat	1
293	unalienable	change from a waking to a sleeping state	0
294	webcam	a digital camera designed to take digital photographs and transmit them over the internet	1
295	predictably	analysis of all aspects of a project along with ways to collect information about the operation of its parts	0
296	teetotalism	abstaining from alcohol	1
297	implied	indicated by necessary connotation though not expressed directly	1
298	stiffen	make stiff or stiffer	1
299	czarist	a worker whose job is to locate and fix sources of trouble (especially in mechanical devices)	0
300	boyish	befitting or characteristic of a young boy	1
301	timolol	a young woman who holds up cards indicating the number of the next round at prize fights	0
302	contemptible	deserving of contempt or scorn	1
303	citywide	occurring or extending throughout a city	1
304	employer	vocal music for several voices in independent parts (usually performed without accompaniment)	0
305	haggler	not forceful	0
306	bloodmobile	a motor vehicle equipped to collect blood donations	1
307	tapster	writing board used on the lap as a table or desk	0
308	scandalousness	grant independence to (a former colony)	0
309	spawner	a female fish at spawning time	1
310	fallboard	a game in which a pitcher allows the opposing team 4 hits	0
311	wattmeter	a dry swab for dusting floors	0
312	blushful	a pasture grass of western North America	0
313	beaten	much trodden and worn smooth or bare	1
314	gristly	the executive and legislative and judicial branches of the federal government of the United States	0
315	disappointed	any plant of the genus Veronica	0
316	smartness	elegance by virtue of being fashionable	1
317	zodiacal	of or concerned with thermodynamics	0
318	incontestible	succulent herb sometimes grown as a salad or pot herb; grows on dunes and waste ground of Pacific coast of North America	0
319	mescaline	the hallucinatory alkaloid that is the active agent in mescal buttons	1
320	sleepy	the presiding member of the jury and the one who speaks on their behalf	0
321	tracked	having tracks	1
322	someone	a human being	1
323	canful	white gull having a black back and wings	0
324	subtract	comprising all living cephalopods except the family Nautilidae: the orders Octopoda (octopuses) and Decapoda (squids and cuttlefish)	0
325	hostelry	intentionally unaccommodating	0
326	previous	(used especially of persons) of the immediate past	1
327	draconian	of or relating to Draco or his harsh code of laws	1
328	gasify	turn into gas	1
329	linkup	segregation by race	0
330	threepence	former cupronickel coin of the United Kingdom equal to three pennies	1
331	cephalic	a Spanish male Gypsy	0
332	swellhead	an irregular ventricle between the third ventricle and the central canal of the spinal cord	0
333	loosely	knitted in a loose manner	1
334	vamper	one of a number of families into which the family Polypodiaceae has been subdivided in some classification systems; Pteridaceae is itself in turn sometimes further subdivided	0
335	chipping	a preview to test audience reactions	0
336	dresser	a cabinet with shelves	1
337	escarp	a prism whose bases are parallelograms	0
338	withers	a team of assassins	0
339	airs	affected manners intended to impress others	1
340	lossy	a word for horse used by children or in adult slang	0
341	paperlike	of or like paper	1
342	necked	tropical Old World ornamental evergreen shrubs having fleshy leaves and large panicles of white pink flowers	0
343	celebrate	assign great social importance to	1
344	handled	having a usually specified type of handle	1
345	bartender	of or relating to or found in estuaries	0
346	meltable	capable of melting	1
347	keeled	having a ridge or shaped like a ridge or the keel of a ship	1
348	satire	witty language used to convey insults or scorn	1
349	coffeehouse	a small restaurant where drinks and snacks are sold	1
350	drifter	a wanderer who has no established residence or visible means of support	1
351	hodometer	baobab; cream-of-tartar tree	0
352	pilferer	of or relating to or characteristic of the crust of the earth or moon	0
353	crowned	a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces	0
354	grantee	a recipient of a grant	1
355	frugality	prudence in avoiding waste	1
356	instructor	iron having a low carbon content that is tough and malleable and so can be forged and welded	0
357	bicylindrical	time required for one complete cycle of the precession of the equinoxes, about 25,800 years	0
358	storm	serving as or based on evidence	0
359	washcloth	bath linen consisting of a piece of cloth used to wash the face and body	1
360	comedown	decline to a lower status or level	1
361	jockey	an independent agency of the federal government responsible for the promotion of progress in science and engineering by supporting programs in research and education	0
362	antitrust	of laws and regulations; designed to protect trade and commerce from unfair business practices	1
363	rubbishy	matter produced by plants or growing in the manner of a plant	0
364	jollify	a leukocyte readily stained with eosin	0
365	latch	spring-loaded doorlock that can only be opened from the outside with a key	1
366	friskiness	threadfins	0
367	helpmeet	a unit of heat equal to the amount of heat required to raise one pound of water one degree Fahrenheit at one atmosphere pressure; equivalent to 251.997 calories	0
368	serum	a dummy gun or piece of artillery made usually of wood	0
369	roaster	a special cooking pan for roasting	1
370	pancarditis	inflammation of the entire heart (the epicardium and the myocardium and the endocardium)	1
371	penlight	a small flashlight resembling a fountain pen	1
372	vulcaniser	surgery to remove tissue or growths from a bodily cavity (as the uterus) by scraping with a curette	0
373	gunmetal	a type of bronze used for parts subject to wear or corrosion (especially corrosion by sea water)	1
374	arrowworm	put on with ease or speed	0
375	tort	(law) any wrongdoing for which an action for damages may be brought	1
376	fenced	of or relating to algolagnia	0
377	goldplate	a hard compact kind of calcite	0
378	dynasty	a sequence of powerful leaders in the same family	1
379	superoxide	a metallic oxide containing the univalent anion O2-	1
380	guaranteed	a large genus of fungi belonging to the family Pluteaceae; the shape of the cap resembles a roof; often abundant early in the summer	0
381	rodent	relatively small gnawing animals having a single pair of constantly growing incisor teeth specialized for gnawing	1
382	peer	look searchingly	1
383	retractable	a unit strand of the vascular system in stems and leaves of higher plants consisting essentially of xylem and phloem	0
384	debug	locate and correct errors in a computer program code	1
385	genital	of or relating to the external sex organs	1
386	vegetarian	ctenophores lacking tentacles; comprises one genus: beroe	0
387	ballpen	percoid flatheads	0
388	litterbin	boarfishes	0
389	youngness	the opposite of oldness	1
390	allowance	of black tinged with grey	0
391	sublimely	completely; in a lofty and exalted manner	1
392	thalamocortical	any of several flowering tropical or subtropical shrubs of the genus Hamelia	0
393	laborious	characterized by toilsome effort to the point of exhaustion; especially physical effort	1
394	latchkey	key for raising or drawing back a latch or opening an outside door	1
395	abortive	failing to accomplish an intended result	1
396	riflebird	free from deception or illusion	0
397	brittleness	firm but easily broken	1
398	coat	an outer garment that has sleeves and covers the body from shoulder down; worn outdoors	1
399	weatherly	fishlike animals having a notochord rather than a true spinal column	0
400	gardenia	any of various shrubs and small trees of the genus Gardenia having large fragrant white or yellow flowers	1
401	agamete	an asexual reproductive cell	1
402	generator	someone who originates or causes or initiates something	1
403	colonialism	exploitation by a stronger country of weaker one; the use of the weaker country's resources to strengthen and enrich the stronger country	1
404	represented	represented accurately or precisely	1
405	socioeconomic	involving social as well as economic factors	1
406	bionics	application of biological principals to the study and design of engineering systems (especially electronic systems)	1
407	predictability	the quality of being predictable	1
408	rider	tall perennial herb of tropical Asia with dark green leaves; cultivated for the fiber from its woody stems that resembles flax	0
409	southerly	charging or suggestive of guilt or blame	0
410	dualism	the doctrine that reality consists of two basic opposing elements, often taken to be mind and matter (or mind and body), or good and evil	1
411	specialist	practices one branch of medicine	1
412	shakeup	a sharpshooter (in the French army)	0
413	goody	something considered choice to eat	1
414	advisor	an expert who gives advice	1
415	studhorse	adult male horse kept for breeding	1
416	controlling	able to control or determine policy	1
417	discernment	illusory auditory perception of strange nonverbal sounds	0
418	fetishist	one who engages in fetishism (especially of a sexual nature)	1
419	renal	without law or control	0
420	storefront	the front side of a store facing the street; usually contains display windows	1
421	stanchly	like a baby	0
422	paintbrush	a brush used as an applicator (to apply paint)	1
423	doubled	twice as great or many	1
424	fandom	the fans of a sport or famous person	1
425	psammoma	a tumor derived from fibrous tissue of the meninges or choroid plexus or certain other structures associated with the brain; characterized by sandlike particles	1
426	neuroblastoma	pungent blend of cumin and ground coriander seed and turmeric and other spices	0
427	rational	capable of being expressed as a quotient of integers	1
428	again	relating to or consisting of or yielding carbon	0
429	paradoxical	a leaf having the radiating lobes each deeply cleft or divided	0
430	niece	somewhat astringent paste prepared by grinding and heating seeds of the African wild mango; a staple food of some African peoples	0
431	frighten	cause fear in	1
432	flatbread	any of various breads made from usually unleavened dough	1
433	reachable	not capable of being expunged	0
434	smouldering	chiefly herbaceous plants with showy flowers; some are cultivated as ornamentals	0
435	stomatous	having a mouth or mouthlike opening	1
436	incivility	translate again	0
437	humorless	the opening through which food is taken in and vocalizations emerge	0
438	expenditure	the world of literary hacks	0
439	afterburner	low-growing weedy grass with spikelets along the leaf stems	0
440	schematically	in a schematic manner	1
441	priestess	the bar-shaped typewriter key that introduces spaces when used	0
442	sigh	a sound like a person sighing	1
443	cluttered	filled or scattered with a disorderly accumulation of objects or rubbish	1
444	masses	pearlfishes: related to the Brotulidae	0
445	wriggle	to move in a twisting or contorted motion, (especially when struggling)	1
446	nine	denoting a quantity consisting of one more than eight and one less than ten	1
447	gesticulating	making gestures while speaking	1
448	strainer	an early stringed instrument like a piano but with more delicate sound	0
449	snag	a dead tree that is still standing, usually in an undisturbed forest	1
450	mistakenly	in a mistaken manner	1
451	flank	(heraldry) an ordinary consisting of a broad horizontal band across a shield	0
452	bicentric	having two centers	1
453	bifoliate	an old silver Spanish coin; worth 8 reales	0
454	geography	assignment to a different duty	0
455	majuscular	of the nature of a majuscule or written in majuscules	1
456	herein	in this place or thing or document	1
457	sweetish	somewhat sweet	1
458	shelfy	a quantity that can assume any of a set of values	0
459	garfish	containing warning of punishment	0
460	publicized	red fox in the color phase when its pelt is tipped with white	0
461	landless	external female sex organs	0
462	footballer	final honors degree examinations at Cambridge University	0
463	fitment	laugh a deep, hearty laugh	0
464	drugstore	a canon who receives a prebend for serving the church	0
465	flavour	the campaign of a candidate to be elected	0
466	excused	a steep-walled semicircular basin in a mountain; may contain a lake	0
467	presentism	the doctrine that the Scripture prophecies of the Apocalypse (as in the Book of Revelations) are presently in the course of being fulfilled	1
468	boatbill	tropical American heron related to night herons	1
469	frugally	geraniums native chiefly to South Africa; widely cultivated	0
470	congest	large family comprising many typical cup fungi	0
471	jack	crane flies	0
472	housemate	someone who resides in the same house with you	1
473	reluctantly	with reluctance	1
474	leafless	a genus of evergreen shrub that grows in New Zealand	0
475	layup	smaller than normal for its kind	0
476	housefly	in a menial manner	0
477	pocketable	small enough to be carried in a garment pocket	1
478	seemly	food and game fish of marine and fresh waters of northwestern coast of North America	0
479	uttered	the univalent radical CH3- derived from methane	0
480	skydive	jump from an airplane and perform various maneuvers before opening one's parachute	1
481	followers	a group of followers or enthusiasts	1
482	cleistogamic	a unit of current equal to 10 amperes	0
483	ritualism	absence of systole; failure of the ventricles of the heart to contract (usually caused by ventricular fibrillation) with consequent absence of the heart beat leading to oxygen lack and eventually to death	0
484	kine	make uniform	0
485	lustful	a branch of the internal pudendal artery in females that supplies the bulb of the vestibule	0
486	compensate	genus of tropical trees or climbers having usually broadly winged pods	0
487	rhapsody	an epic poem adapted for recitation	1
488	electrician	control and direct with or as if by reins	0
489	scourger	a torturer who flogs or scourges (especially an official whose duty is to whip offenders)	1
490	pyrite	a common mineral (iron disulfide) that has a pale yellow color	1
491	values	beliefs of a person or social group in which they have an emotional investment (either for or against something)	1
492	beatable	susceptible to being defeated	1
493	cords	deep-sea fishes	0
494	jocosely	not paying a salary	0
495	balker	a noninvasive diagnostic procedure that uses ultrasound to study to structure and motions of the heart	0
496	losses	a female demon believed to have sexual intercourse with sleeping men	0
497	railcar	in a dialectic manner	0
498	voluntarily	out of your own free will	1
499	mousy	infested with mice	1
500	sinkable	evergreen shrub or tree of South Africa	0
501	slews	cause (somebody) to feel happier or more cheerful	0
502	novelist	one who writes novels	1
503	viewable	capable of being viewed	1
504	tenancy	any font that is contained in a cartridge that can be plugged into a computer printer	0
505	feasible	of eastern North America	0
506	swiftness	large heavy-bodied chiefly terrestrial game bird capable of powerful swift flight; classified with wading birds but frequents grassy steppes	0
507	oldie	the activity of making visits	0
508	congratulations	a disease of tomato plants	0
