index	word	morphology	label
274	reoriented	inflection	1
275	kexes	inflection	1
276	overtills	inflection	1
277	largitions	inflection	1
278	rerecorded	inflection	1
279	abashing	inflection	1
280	Parkinsonising	inflection	1
281	superbills	inflection	1
282	sneakies	inflection	1
283	souced	inflection	1
284	setpieces	inflection	1
285	tinks	inflection	1
286	sealabs	inflection	1
287	chroots	inflection	1
288	prizers	inflection	1
289	columnals	inflection	1
290	breades	inflection	1
291	trueing	inflection	1
292	clying	inflection	1
293	proudnesses	inflection	1
294	comedizing	inflection	1
295	cankered	inflection	1
296	subpacks	inflection	1
297	inferiorizing	inflection	1
298	magnifying	inflection	1
299	eavesdropping	inflection	1
300	deafened	inflection	1
301	lirts	inflection	1
302	screencaps	inflection	1
303	allected	inflection	1
304	deadlined	inflection	1
305	substates	inflection	1
306	potashing	inflection	1
307	scaffies	inflection	1
308	polycells	inflection	1
309	elasticating	inflection	1
310	twitterings	inflection	1
311	overthrowals	inflection	1
312	lazyasses	inflection	1
313	tugging	inflection	1
314	facultising	inflection	1
315	giftednesses	inflection	1
316	shrithing	inflection	1
317	breasticles	inflection	1
318	hypertensions	inflection	1
319	windiest	inflection	1
320	horsing	inflection	1
321	compensators	inflection	1
322	fronds	inflection	1
323	spathes	inflection	1
324	kakis	inflection	1
325	atomisations	inflection	1
326	busyings	inflection	1
327	nuked	inflection	1
328	atomologies	inflection	1
329	mantits	inflection	1
330	digitalizing	inflection	1
331	moors	inflection	1
332	gastrocs	inflection	1
333	shoos	inflection	1
334	hydrogenates	inflection	1
335	cassids	inflection	1
336	unionizations	inflection	1
337	volleyballers	inflection	1
338	costumers	inflection	1
339	dodmans	inflection	1
340	cartoppers	inflection	1
341	runnerups	inflection	1
342	regendered	inflection	1
343	doges	inflection	1
344	colleens	inflection	1
345	accommodates	inflection	1
346	prewashed	inflection	1
347	customising	inflection	1
348	fadeouts	inflection	1
349	pressers	inflection	1
350	dexified	inflection	1
351	bravings	inflection	1
352	skutes	inflection	1
353	baconizing	inflection	1
354	cuffers	inflection	1
355	canting	inflection	1
356	scareheaded	inflection	1
357	anointed	inflection	1
358	sectionizing	inflection	1
359	tillering	inflection	1
360	INDs	inflection	1
361	behats	inflection	1
362	unconsuming	inflection	1
363	pushups	inflection	1
364	minifying	inflection	1
365	typeholders	inflection	1
366	masculating	inflection	1
367	financializing	inflection	1
368	blagues	inflection	1
369	predating	inflection	1
370	censing	inflection	1
371	timepoints	inflection	1
372	doorplates	inflection	1
373	underleased	inflection	1
374	wrappings	inflection	1
375	disregarded	inflection	1
376	particularizers	inflection	1
377	beaths	inflection	1
378	overturning	inflection	1
379	blocklists	inflection	1
380	grimacing	inflection	1
381	cachettes	inflection	1
382	dragges	inflection	1
383	smickers	inflection	1
384	MPGs	inflection	1
385	ducted	inflection	1
386	spunks	inflection	1
387	hogwards	inflection	1
388	tourneys	inflection	1
389	excurred	inflection	1
390	bisets	inflection	1
391	reauthored	inflection	1
392	draggling	inflection	1
393	franking	inflection	1
394	elegies	inflection	1
395	artistes	inflection	1
396	videographers	inflection	1
397	dispersers	inflection	1
398	reconcilements	inflection	1
399	lowes	inflection	1
400	bestills	inflection	1
401	bailiffs	inflection	1
402	mimed	inflection	1
403	rilled	inflection	1
404	partographs	inflection	1
405	lugs	inflection	1
406	weightings	inflection	1
407	Rothschilds	inflection	1
408	chemoses	inflection	1
409	pirnas	inflection	1
410	spatulations	inflection	1
411	summarisers	inflection	1
412	dartled	inflection	1
413	shuttleports	inflection	1
414	dentizing	inflection	1
415	reidentified	inflection	1
416	sleepier	inflection	1
417	demonstrables	inflection	1
418	teending	inflection	1
419	unmoved	inflection	1
420	dhimes	inflection	1
421	truckloads	inflection	1
422	mesmerizers	inflection	1
423	managerialisms	inflection	1
424	normalised	inflection	1
425	flecking	inflection	1
426	laiking	inflection	1
427	amidates	inflection	1
428	timeboxes	inflection	1
429	pyramidizations	inflection	1
430	barbs	inflection	1
431	brainlets	inflection	1
432	toystores	inflection	1
433	durags	inflection	1
434	cruppers	inflection	1
435	transacted	inflection	1
436	newlings	inflection	1
437	elfes	inflection	1
438	bims	inflection	1
439	welts	inflection	1
440	dimitted	inflection	1
441	recoverables	inflection	1
442	swingframes	inflection	1
443	soboles	inflection	1
444	entrepreneuses	inflection	1
445	buttressed	inflection	1
446	upstreams	inflection	1
447	potlis	inflection	1
448	superports	inflection	1
449	supermeasures	inflection	1
450	PRs	inflection	1
451	sackholes	inflection	1
452	spenses	inflection	1
453	doglings	inflection	1
454	DSs	inflection	1
455	heroified	inflection	1
456	vigs	inflection	1
457	debudding	inflection	1
458	reinventoried	inflection	1
459	snites	inflection	1
460	irregulars	inflection	1
461	lobbyings	inflection	1
462	outcomings	inflection	1
463	toadies	inflection	1
464	redesigners	inflection	1
465	mailpieces	inflection	1
466	notpologies	inflection	1
467	endoamylases	inflection	1
468	unstrands	inflection	1
469	disallieged	inflection	1
470	cryptocelids	inflection	1
471	slughorns	inflection	1
472	cyanotrichites	inflection	1
473	cucujoids	inflection	1
474	enneacontagons	inflection	1
475	Sonnites	inflection	1
476	scudders	inflection	1
477	placentographies	inflection	1
478	glyptothecas	inflection	1
479	vivifications	inflection	1
480	demethylated	inflection	1
481	flymphs	inflection	1
482	defouled	inflection	1
483	overpampering	inflection	1
484	noncoagulated	inflection	1
485	diastrophisms	inflection	1
486	scrapheaps	inflection	1
487	nondoubling	inflection	1
488	zeekoes	inflection	1
489	Qatabanians	inflection	1
490	plesaunter	inflection	1
491	geotaxis	inflection	1
492	esculentosides	inflection	1
493	megaliths	inflection	1
494	patricentred	inflection	1
495	unblemishedly	inflection	1
496	undercrowded	inflection	1
497	enterocenteses	inflection	1
498	nanocrystallites	inflection	1
499	coxosternums	inflection	1
500	educamated	inflection	1
501	hormetins	inflection	1
502	absconsions	inflection	1
503	inbetweeners	inflection	1
504	forsenches	inflection	1
505	unredirected	inflection	1
506	skronks	inflection	1
507	unsaddened	inflection	1
508	brachygraphies	inflection	1
509	soapcurds	inflection	1
510	millidarwins	inflection	1
511	fudgels	inflection	1
512	nonvisualized	inflection	1
513	telescopists	inflection	1
514	neddies	inflection	1
515	monosaccharides	inflection	1
516	nanoelectrodes	inflection	1
517	deparaffins	inflection	1
518	erudiates	inflection	1
519	rosiest	inflection	1
520	epoxyeicosatrienoids	inflection	1
521	dishstands	inflection	1
522	hajjis	inflection	1
523	scariest	inflection	1
524	leerings	inflection	1
525	chattelized	inflection	1
526	coruros	inflection	1
527	accessorials	inflection	1
528	antimeres	inflection	1
529	reincising	inflection	1
530	phototyping	inflection	1
531	facetedness	inflection	1
532	Wordsworthians	inflection	1
533	vivacities	inflection	1
534	melyrids	inflection	1
535	nudzhed	inflection	1
536	squinnying	inflection	1
537	megamillionairesses	inflection	1
538	antiholins	inflection	1
539	snooches	inflection	1
540	nonpierced	inflection	1
541	nonpowdered	inflection	1
542	exploders	inflection	1
543	ULDBs	inflection	1
544	underclocking	inflection	1
545	MCPs	inflection	1
546	eyeopeners	inflection	1
547	underleaves	inflection	1
548	transnatures	inflection	1
549	fiddlenecks	inflection	1
550	reposted	inflection	1
551	methylimidazoles	inflection	1
552	claustrophiliacs	inflection	1
553	mispronounced	inflection	1
554	misinclining	inflection	1
555	inwombs	inflection	1
556	parallaxes	inflection	1
557	alsikes	inflection	1
558	outcurling	inflection	1
559	haemograms	inflection	1
560	seasprays	inflection	1
561	larvalizations	inflection	1
562	untaxing	inflection	1
563	chlordiazepoxides	inflection	1
564	takfired	inflection	1
565	ladymags	inflection	1
566	conservatoires	inflection	1
567	cytodendrites	inflection	1
568	armenisms	inflection	1
569	fandubbers	inflection	1
570	lixiviated	inflection	1
571	noncontacting	inflection	1
572	nonroasted	inflection	1
573	lysophosphatidylethanolamines	inflection	1
574	cartophiles	inflection	1
575	unghosting	inflection	1
576	espiegleries	inflection	1
577	tobaccos	inflection	1
578	khanas	inflection	1
579	trekpasses	inflection	1
580	misgauged	inflection	1
581	underbracing	inflection	1
582	dendronotaceans	inflection	1
583	preobtains	inflection	1
584	whitestreamed	inflection	1
585	AOEs	inflection	1
586	vaginoscopes	inflection	1
587	repopularizes	inflection	1
588	floorshows	inflection	1
589	proteovesicles	inflection	1
590	partridgeberries	inflection	1
591	testimonialising	inflection	1
592	snowmelts	inflection	1
593	apoproteins	inflection	1
594	transvolations	inflection	1
595	Brexiting	inflection	1
596	patchcoats	inflection	1
597	perikrons	inflection	1
598	parallaxed	inflection	1
599	ketosynthases	inflection	1
600	recoppicing	inflection	1
601	organocatalysed	inflection	1
602	paradigmatizes	inflection	1
603	overaggrandizing	inflection	1
604	topeks	inflection	1
605	trepanations	inflection	1
606	melomyses	inflection	1
607	Mandchous	inflection	1
608	balmifies	inflection	1
609	poppodums	inflection	1
610	indifferences	inflection	1
611	tetraacetates	inflection	1
612	nonjuveniles	inflection	1
613	antipsoriatics	inflection	1
614	syphilisations	inflection	1
615	greedsome	inflection	1
616	Qazaqs	inflection	1
617	presocialists	inflection	1
618	birdfeeders	inflection	1
619	CFCs	inflection	1
620	motmots	inflection	1
621	heptanals	inflection	1
622	fogfruits	inflection	1
623	breccias	inflection	1
624	moldiwarps	inflection	1
625	brachiations	inflection	1
626	sparsifying	inflection	1
627	sextating	inflection	1
628	intersexualists	inflection	1
629	palaeoecosystems	inflection	1
630	mailshotted	inflection	1
631	spherised	inflection	1
632	housewalls	inflection	1
633	gypsids	inflection	1
634	onsights	inflection	1
635	pupperinos	inflection	1
636	moeblobs	inflection	1
637	telebookings	inflection	1
638	partyfuls	inflection	1
639	entextualizations	inflection	1
640	faultfindings	inflection	1
641	thumpiest	inflection	1
642	illimited	inflection	1
643	sybaritisms	inflection	1
644	perispeckles	inflection	1
645	stratospheres	inflection	1
646	retroducted	inflection	1
647	osmoprotectants	inflection	1
648	sogginesses	inflection	1
649	backreacting	inflection	1
650	microchunking	inflection	1
651	maleylations	inflection	1
652	hyposensitizing	inflection	1
653	sandpiles	inflection	1
654	adrenalectomized	inflection	1
655	nitrilotriacetates	inflection	1
656	genostresses	inflection	1
657	beelings	inflection	1
658	nonphysics	inflection	1
659	photoregenerations	inflection	1
660	dissocializes	inflection	1
661	metrophiles	inflection	1
662	isocrymals	inflection	1
663	annealments	inflection	1
664	turboloads	inflection	1
665	kirkmaisters	inflection	1
666	ulerythemas	inflection	1
667	Harrovians	inflection	1
668	wildfowled	inflection	1
669	colourbearers	inflection	1
670	ijzerkoekjes	inflection	1
671	untrellised	inflection	1
672	sphenacodontids	inflection	1
673	whitebeards	inflection	1
674	chronophiles	inflection	1
675	indrifting	inflection	1
676	oölogists	inflection	1
677	unbooking	inflection	1
678	microgliopathies	inflection	1
679	adrenalectomises	inflection	1
680	electrochemists	inflection	1
681	unmiters	inflection	1
682	condemnees	inflection	1
683	ogdoads	inflection	1
684	overstudies	inflection	1
685	piqued	inflection	1
686	benzodiazepines	inflection	1
687	crantses	inflection	1
688	femfans	inflection	1
689	displacencies	inflection	1
690	autoinoculations	inflection	1
691	cwms	inflection	1
692	plasmacytes	inflection	1
693	chechakos	inflection	1
694	reincorporated	inflection	1
695	phosphonylations	inflection	1
696	vallations	inflection	1
697	soutanes	inflection	1
698	desmotomies	inflection	1
699	ran	inflection	1
700	had	inflection	1
701	felt	inflection	1
702	blown	inflection	1
703	drawn	inflection	1
704	swore	inflection	1
705	froze	inflection	1
706	sought	inflection	1
707	stood	inflection	1
708	spoke	inflection	1
709	began	inflection	1
710	thought	inflection	1
711	held	inflection	1
712	spun	inflection	1
713	lent	inflection	1
714	torn	inflection	1
715	came	inflection	1
716	sprung	inflection	1
717	rebound	inflection	1
718	sank	inflection	1
719	had	inflection	1
720	withdrew	inflection	1
721	said	inflection	1
722	sent	inflection	1
723	fought	inflection	1
724	handmade	inflection	1
725	rebuilt	inflection	1
726	rose	inflection	1
727	made	inflection	1
728	lost	inflection	1
729	swung	inflection	1
730	slept	inflection	1
731	hung	inflection	1
732	brought	inflection	1
733	blew	inflection	1
734	withdrawn	inflection	1
735	handmade	inflection	1
736	lent	inflection	1
737	bit	inflection	1
738	lore	inflection	1
739	sought	inflection	1
740	unpaid	inflection	1
741	thought	inflection	1
742	heard	inflection	1
743	prepaid	inflection	1
744	misunderstood	inflection	1
745	ate	inflection	1
746	slid	inflection	1
747	broke	inflection	1
748	sought	inflection	1
749	repaid	inflection	1
750	upheld	inflection	1
751	rent	inflection	1
752	made	inflection	1
753	struck	inflection	1
754	come	inflection	1
755	bound	inflection	1
756	left	inflection	1
757	known	inflection	1
758	heard	inflection	1
759	upheld	inflection	1
760	left	inflection	1
761	woke	inflection	1
762	lit	inflection	1
763	ad	inflection	1
764	saw	inflection	1
765	sat	inflection	1
766	hid	inflection	1
767	held	inflection	1
768	overlay	inflection	1
769	had	inflection	1
770	drank	inflection	1
771	slit	inflection	1
772	grew	inflection	1
773	withheld	inflection	1
774	stood	inflection	1
775	unknown	inflection	1
776	stole	inflection	1
777	shrunk	inflection	1
778	laid	inflection	1
779	thought	inflection	1
780	bound	inflection	1
781	relent	inflection	1
782	untold	inflection	1
783	said	inflection	1
784	paid	inflection	1
785	sung	inflection	1
786	rent	inflection	1
787	clad	inflection	1
788	sprang	inflection	1
789	oversaw	inflection	1
790	flown	inflection	1
791	shone	inflection	1
792	worn	inflection	1
793	met	inflection	1
794	dealt	inflection	1
795	wore	inflection	1
796	did	inflection	1
797	swore	inflection	1
798	gotten	inflection	1
799	meant	inflection	1
800	told	inflection	1
801	begun	inflection	1
802	slept	inflection	1
803	sat	inflection	1
804	struck	inflection	1
805	built	inflection	1
806	meant	inflection	1
807	rebuilt	inflection	1
808	withheld	inflection	1
809	misunderstood	inflection	1
810	flung	inflection	1
811	relent	inflection	1
812	run	inflection	1
813	overheard	inflection	1
814	spent	inflection	1
815	todrawn	inflection	1
816	underspent	inflection	1
817	undrew	inflection	1
818	rebought	inflection	1
819	upbent	inflection	1
820	bedrawn	inflection	1
821	forthrew	inflection	1
822	miscame	inflection	1
823	rearose	inflection	1
824	betid	inflection	1
825	clung	inflection	1
826	outtold	inflection	1
827	retook	inflection	1
828	petsat	inflection	1
829	entertook	inflection	1
830	housekept	inflection	1
831	resat	inflection	1
832	housesat	inflection	1
833	overwrote	inflection	1
834	behung	inflection	1
835	underbound	inflection	1
836	reshot	inflection	1
837	forelain	inflection	1
838	overtold	inflection	1
839	gatekept	inflection	1
840	formade	inflection	1
841	uplaid	inflection	1
842	interknown	inflection	1
843	forsaid	inflection	1
844	gutshot	inflection	1
845	atrun	inflection	1
846	fellowfelt	inflection	1
847	bechid	inflection	1
848	countersunk	inflection	1
849	misbound	inflection	1
850	untrod	inflection	1
851	overworn	inflection	1
852	forewent	inflection	1
853	surpaid	inflection	1
854	offstood	inflection	1
855	withstood	inflection	1
856	rewon	inflection	1
857	forthshown	inflection	1
858	recaught	inflection	1
859	outsought	inflection	1
860	fortaught	inflection	1
861	crossbit	inflection	1
862	finedrawn	inflection	1
863	underkept	inflection	1
864	resought	inflection	1
865	misspoke	inflection	1
866	rebit	inflection	1
867	betold	inflection	1
868	rewon	inflection	1
869	abought	inflection	1
870	befound	inflection	1
871	overgrown	inflection	1
872	overleft	inflection	1
873	outsought	inflection	1
874	unsaid	inflection	1
875	regrown	inflection	1
876	petsat	inflection	1
877	redrank	inflection	1
878	underthought	inflection	1
879	outsang	inflection	1
880	oversat	inflection	1
881	timekept	inflection	1
882	underlain	inflection	1
883	becaught	inflection	1
884	undergot	inflection	1
885	betaught	inflection	1
886	inblown	inflection	1
887	southsaid	inflection	1
888	overmade	inflection	1
889	belay	inflection	1
890	preground	inflection	1
891	floodlit	inflection	1
892	gart	inflection	1
893	shod	inflection	1
894	overshot	inflection	1
895	undersought	inflection	1
896	gutshot	inflection	1
897	cliffhung	inflection	1
898	demade	inflection	1
899	unheld	inflection	1
900	foredrawn	inflection	1
901	outtold	inflection	1
902	bewent	inflection	1
903	atsat	inflection	1
904	forsought	inflection	1
905	retold	inflection	1
906	debound	inflection	1
907	undersold	inflection	1
908	outsat	inflection	1
909	miscaught	inflection	1
910	topspun	inflection	1
911	downfell	inflection	1
912	upsold	inflection	1
913	overthrown	inflection	1
914	outlaid	inflection	1
915	cowrote	inflection	1
916	fortore	inflection	1
917	ingrown	inflection	1
918	underlay	inflection	1
919	oversat	inflection	1
920	overwore	inflection	1
921	undergrown	inflection	1
922	unsent	inflection	1
923	knelt	inflection	1
924	mistold	inflection	1
925	torift	inflection	1
926	againstood	inflection	1
927	overnum	inflection	1
928	reshown	inflection	1
929	overwound	inflection	1
930	slunk	inflection	1
931	beslept	inflection	1
932	bemeant	inflection	1
933	babywore	inflection	1
934	becrept	inflection	1
935	tobroke	inflection	1
936	downstruck	inflection	1
937	overswept	inflection	1
938	deepdrew	inflection	1
939	forlaid	inflection	1
940	talebore	inflection	1
941	forebrought	inflection	1
942	underbought	inflection	1
943	awestruck	inflection	1
944	preshrunk	inflection	1
945	autohid	inflection	1
946	foresang	inflection	1
947	birdiesat	inflection	1
948	beshook	inflection	1
949	foretaught	inflection	1
950	memba'd	inflection	1
951	ittin'	inflection	1
952	outswum	inflection	1
953	cockfought	inflection	1
954	forthclept	inflection	1
955	misblew	inflection	1
956	forthbrought	inflection	1
957	forewist	inflection	1
958	unrung	inflection	1
959	toshent	inflection	1
960	puppysat	inflection	1
961	foreswore	inflection	1
962	bycaught	inflection	1
963	backshone	inflection	1
964	outwound	inflection	1
965	underthrown	inflection	1
966	intercame	inflection	1
967	rebegun	inflection	1
968	outleapt	inflection	1
969	outgave	inflection	1
970	outsprang	inflection	1
971	unshook	inflection	1
972	onlent	inflection	1
973	upcame	inflection	1
974	foreslew	inflection	1
975	farsaw	inflection	1
976	besprent	inflection	1
977	strangleheld	inflection	1
978	forspent	inflection	1
979	wukkin'	inflection	1
980	foretook	inflection	1
981	bethrew	inflection	1
982	writh'd	inflection	1
983	noserode	inflection	1
984	outleant	inflection	1
985	overshook	inflection	1
986	swallyin	inflection	1
987	interlaid	inflection	1
988	soothsaid	inflection	1
989	reshrank	inflection	1
990	toswank	inflection	1
991	counterstruck	inflection	1
992	intersown	inflection	1
993	underwithheld	inflection	1
994	underblew	inflection	1
995	misdrew	inflection	1
996	unshrank	inflection	1
997	forsworn	inflection	1
998	forgnode	inflection	1
999	jayran	inflection	1
1000	freewrote	inflection	1
1001	upbrought	inflection	1
1002	strangleheld	inflection	1
1003	presewn	inflection	1
1004	mainsworn	inflection	1
1005	tyekin	inflection	1
1006	forecame	inflection	1
1007	misbecame	inflection	1
1008	outrove	inflection	1
1009	prelaid	inflection	1
1010	inbroke	inflection	1
1011	tailrode	inflection	1
1012	outgrew	inflection	1
1013	vada'd	inflection	1
1014	misdrove	inflection	1
1015	moovd	inflection	1
1016	concasséd	inflection	1
1017	doomsaid	inflection	1
1018	inwove	inflection	1
1019	upgave	inflection	1
1020	todrew	inflection	1
1021	overspent	inflection	1
1022	reunderstood	inflection	1
1023	rewore	inflection	1
1024	outthrown	inflection	1
1025	outbrought	inflection	1
1026	outwore	inflection	1
1027	rebroke	inflection	1
1028	withsook	inflection	1
1029	beleapt	inflection	1
1030	outcrept	inflection	1
1031	prelaid	inflection	1
1032	overblew	inflection	1
1033	toshorn	inflection	1
1034	kek'd	inflection	1
1035	resprang	inflection	1
1036	took the piss	inflection	1
1037	outspent	inflection	1
1038	outsprung	inflection	1
1039	resprung	inflection	1
1040	unmeant	inflection	1
1041	hearin'	inflection	1
1042	overdealt	inflection	1
1043	forthspoke	inflection	1
1044	autowound	inflection	1
1045	outfought	inflection	1
1046	onlent	inflection	1
1047	Boom	inflection	0
1048	Claud	inflection	0
1049	Kik	inflection	0
1050	Maw	inflection	0
1051	Spencer	inflection	0
1052	Gerard	inflection	0
1053	Surrey	inflection	0
1054	Logan	inflection	0
1055	Vernon	inflection	0
1056	surprisingly	inflection	0
1057	Mole	inflection	0
1058	indefinitely	inflection	0
1059	was	inflection	0
1060	Atlanta	inflection	0
1061	Spur	inflection	0
1062	Rasmussen	inflection	0
1063	Sark	inflection	0
1064	Law	inflection	0
1065	Gan	inflection	0
1066	Rooney	inflection	0
1067	Lua	inflection	0
1068	Force	inflection	0
1069	Yao	inflection	0
1070	Potter	inflection	0
1071	wildly	inflection	0
1072	Trib	inflection	0
1073	Wayne	inflection	0
1074	relentlessly	inflection	0
1075	eurozone	inflection	0
1076	ridiculously	inflection	0
1077	Best	inflection	0
1078	Belle	inflection	0
1079	Parsons	inflection	0
1080	Franz	inflection	0
1081	Westbrook	inflection	0
1082	Sullivan	inflection	0
1083	Mack	inflection	0
1084	Frederick	inflection	0
1085	Avery	inflection	0
1086	Ireland	inflection	0
1087	Milwaukee	inflection	0
1088	Vs	inflection	0
1089	Zhao	inflection	0
1090	Peters	inflection	0
1091	sexually	inflection	0
1092	Lopez	inflection	0
1093	Wales	inflection	0
1094	McCabe	inflection	0
1095	Roland	inflection	0
1096	annually	inflection	0
1097	Henry	inflection	0
1098	Split	inflection	0
1099	Yan	inflection	0
1100	Armageddon	inflection	0
1101	artificially	inflection	0
1102	Luke	inflection	0
1103	Poe	inflection	0
1104	Lenin	inflection	0
1105	Koen	inflection	0
1106	Arizona	inflection	0
1107	downwards	inflection	0
